Time,Life,SOC,slave_num,sum_volt,extsum_volt,current,avg_current,max_volt,max_volt_no,min_volt,min_volt_no,max_t,max_temp_no,min_t,min_temp_no,Bat_ErrCode,BatSYS_ErrCode,HD_ErrCode,Other_ErrCode,Total_in_AH,Total_out_AH,CC,CC2,AI1,AI2,BMS_Volt,CP,DI1,DI2,DI3,DI4,DO1,DO2,Rly_HEAT,Rly_FAN,Rly_POS,Rly_NEG,Rly_PRE,Rly_CHG,LifeA,max_voltA,max_volt_noA,min_voltA,min_volt_noA,max_tA,max_temp_noA,min_tA,min_temp_noA,diff_VA,diff_TA,ErrorFlagA,sla_vnumA,sla_tnumA
10:01:58,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,12.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:01:59,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,12.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:00,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,12.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:01,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:02,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:03,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:04,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:05,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:06,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:07,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:08,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:09,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:10,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:11,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:12,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:13,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:14,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:15,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:16,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:17,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:18,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:19,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
10:02:20,0.000000,56.400000,3.000000,0.000000,0.500000,-0.500000,-0.500000,0.000000,0.000000,0.000000,0.000000,-40.000000,0.000000,-40.000000,0.000000,0000000000000000,0000000000000000,0080020000000000,000000000000000,0.000000,0.000000,11.800000,11.800000,0.000000,0.000000,11.900000,0.000000,L,L,L,L,L,L,L,L,L,L,L,L,13.000000,19.255000,64.000000,0.128000,48.000000,0.000000,0.000000,0.000000,64.000000,19.127000,0.000000,,0.000000,0.000000
