序号        传输方向  第几路CAN    时间标识  帧ID        帧格式  帧类型  数据长度  数据
0x00000000    接收    0      0x01e398ee  18888000  数据帧  扩展帧  0x08  ab 12 00 4c 00 00 00 00 
0x00000000    接收    0      0x01e39a10  18888000  数据帧  扩展帧  0x08  00 05 44 00 87 0f 07 02 
0x00000001    接收    0      0x01e39a43  18888000  数据帧  扩展帧  0x08  01 0b 2b 37 00 00 81 6f 
0x00000002    接收    0      0x01e39a75  18888000  数据帧  扩展帧  0x08  02 00 00 00 00 00 00 00 
0x00000003    接收    0      0x01e39aa8  18888000  数据帧  扩展帧  0x08  03 00 00 00 00 00 00 00 
0x00000004    接收    0      0x01e39ada  18888000  数据帧  扩展帧  0x08  04 ef aa ce 00 00 08 00 
0x00000005    接收    0      0x01e39b0d  18888000  数据帧  扩展帧  0x08  05 03 00 8a 02 03 00 00 
0x00000006    接收    0      0x01e39b3f  18888000  数据帧  扩展帧  0x08  06 00 00 00 00 30 00 00 
0x00000007    接收    0      0x01e39b72  18888000  数据帧  扩展帧  0x08  07 00 00 00 00 00 00 00 
0x00000008    接收    0      0x01e39ba4  18888000  数据帧  扩展帧  0x08  08 00 00 00 00 00 00 00 
0x00000009    接收    0      0x01e39bd7  18888000  数据帧  扩展帧  0x08  09 00 00 00 00 00 00 00 
0x0000000a    接收    0      0x01e39c09  18888000  数据帧  扩展帧  0x08  0a 00 00 00 00 00 00 00 
0x0000000b    接收    0      0x01e39c3c  18888000  数据帧  扩展帧  0x08  0b 00 00 00 00 00 00 00 
0x0000000c    接收    0      0x01e39c6e  18888000  数据帧  扩展帧  0x08  0c 01 00 00 00 01 00 00 
0x0000000d    接收    0      0x01e39ca1  18888000  数据帧  扩展帧  0x08  0d 00 00 00 00 00 00 01 
0x0000000e    接收    0      0x01e39cd3  18888000  数据帧  扩展帧  0x08  0e 00 00 0c 00 00 00 00 
0x0000000f    接收    0      0x01e39d06  18888000  数据帧  扩展帧  0x08  0f 00 00 00 00 00 00 00 
0x00000010    接收    0      0x01e39d38  18888000  数据帧  扩展帧  0x08  10 00 00 00 00 00 00 00 
0x00000011    接收    0      0x01e39d6b  18888000  数据帧  扩展帧  0x08  11 00 00 00 00 00 00 00 
0x00000012    接收    0      0x01e39d9d  18888000  数据帧  扩展帧  0x08  12 08 00 00 00 00 00 00 
