No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum,S2V1,S2V2,S2V3,S2V4,S1V5,S1V6,S1V7,S1V8,S1V9,S1V10,S1V11,S1V12,S1V13,S1V14,S1V15,S1V16,S2V17,S2V18,S2V19,S2V20,S2V21,S2V22,S2V23,S2V24,S2V25,S2V26,S2V27,S2V28,S2V29,S2V30,S3V31,S3V32,S3V33,S3V34,S3V35,S3V36,S3V37,S3V38,S3V39,S3V40,S3V41,S3V42,S3V43,S3V44,S3V45,S3V46,S3V47,S3V48,S3T1,S3T2,S3T3,S3T4,S3T5,S3T6,S3T7,S3T8
1,2015-10-27 11:13:34,7,0,1.2,-4.4,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.5,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.05,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
2,2015-10-27 11:13:34,7,0,1.2,0,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.5,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.05,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.208,3.209,3.21,3.211,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
3,2015-10-27 11:13:35,7,0,1.2,0.6,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.5,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.05,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
4,2015-10-27 11:13:36,7,0,1.2,1.4,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.5,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.051,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
5,2015-10-27 11:13:37,7,0,1.2,-4.6,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.051,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
6,2015-10-27 11:13:38,7,0,1.2,0.4,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.051,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.204,3.205,3.206,3.207,3.208,3.209,3.21,3.211,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
7,2015-10-27 11:13:39,7,0,1.2,-0.8,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.051,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
8,2015-10-27 11:13:40,7,0,1.2,-0.8,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.052,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
9,2015-10-27 11:13:41,7,0,1.2,-1,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.052,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.22,3.221,3.222,3.223,3.224,3.225,3.226,3.227,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
10,2015-10-27 11:13:42,7,0,1.2,-1.4,90,99.7,0,0,0,0,0,-40,0,-40,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.052,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.212,3.213,3.214,3.215,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
