No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum,S2V1,S2V2,S2V3,S2V4,S2V5,S2V6,S2V7,S2V8,S2V9,S2V10,S2V11,S2V12,S3V13,S3V14,S3V15,S3V16,S1V17,S1V18,S1V19,S1V20,S1V21,S1V22,S1V23,S1V24,S1V25,S1V26,S1V27,S1V28,S2V29,S2V30,S3V31,S3V32,S3V33,S3V34,S3V35,S3V36,S3V37,S3V38,S3V39,S3V40,S3V41,S3V42,S3V43,S3V44,S3V45,S3V46,S3V47,S3V48,S3T1,S3T2,S3T3,S3T4,S3T5,S3T6,S3T7,S3T8
1,2015-10-27 11:13:06,7,0,1.2,1.4,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.212,3.213,3.214,3.215,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
2,2015-10-27 11:13:06,7,0,1.2,1.4,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
3,2015-10-27 11:13:07,7,0,1.2,1.1,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
4,2015-10-27 11:13:08,7,0,1.2,1.1,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
5,2015-10-27 11:13:09,7,0,1.2,-1.6,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.228,3.229,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
6,2015-10-27 11:13:10,7,0,1.2,1.4,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.216,3.217,3.218,3.219,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
7,2015-10-27 11:13:11,7,0,1.2,0,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.208,3.209,3.21,3.211,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
8,2015-10-27 11:13:12,7,0,1.2,1.5,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
9,2015-10-27 11:13:13,7,0,1.2,0,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
10,2015-10-27 11:13:14,7,0,1.2,0,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.049,0,0,0,0000000000000000,CC00080000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.224,3.225,3.226,3.227,3.2,3.201,3.23,3.231,3.232,3.233,3.234,3.235,3.236,3.237,3.238,3.239,3.24,3.241,3.242,3.243,3.244,3.245,3.246,3.247,20,21,22,23,24,25,26,27
