No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-10-27 15:42:17,7,62.4,62.6,-263.6,100,100,3.247,108,3.2,1,0.047,193,21,11,22,182,-263.8,Normal,Off,Off,Off,On,On,Off,Open,Close,0,0,158.4,22.749,0,0,0,0A80020000000000,0CF0330300000000,0000000000000000,000000000000000,3
2,2015-10-27 15:42:18,7,62.3,62.6,-264.2,100,100,3.247,108,3.2,1,0.047,193,21,11,22,182,-263.8,Normal,Off,Off,Off,On,On,Off,Open,Close,0,0,158.4,22.881,0,0,0,0A80020000000000,0CF0330300000000,0000000000000000,000000000000000,3
3,2015-10-27 15:42:18,7,62.4,62.6,-263.8,100,100,3.247,108,3.2,1,0.047,193,21,11,22,182,-263.8,Normal,Off,Off,Off,On,On,Off,Open,Close,0,0,158.4,22.881,0,0,0,0A80020000000000,0CF0330300000000,0000000000000000,000000000000000,3
4,2015-10-27 15:42:19,7,62.3,62.6,-264,100,100,3.247,108,3.2,1,0.047,193,21,11,22,182,-263.9,Normal,Off,Off,Off,On,On,Off,Open,Close,0,0,158.4,23.012,0,0,0,0A80020000000000,0CF0330300000000,0000000000000000,000000000000000,3
5,2015-10-27 15:42:20,7,62.3,62.6,-263.1,100,100,3.247,108,3.2,1,0.047,193,21,11,22,182,-263.9,Normal,Off,Off,Off,On,On,Off,Open,Close,0,0,158.4,23.275,0,0,0,0A80020000000000,0CF0330300000000,0000000000000000,000000000000000,3
