No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-07-02 15:09:59,15,149,150.4,313.3,0,100,0,0,0,0,0,-40,0,-40,0,0,313.5,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,0,98.536,0,0,008A020300000000,CC00CC0000000000,0000300000000000,000000000000000,4
2,2015-07-02 15:09:59,15,149,150.4,313.3,0,100,0,0,0,0,0,-40,0,-40,0,0,313.5,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,0,98.536,0,0,008A020300000000,CC00CC0000000000,0000300000000000,000000000000000,4
3,2015-07-02 15:10:00,35,149,150.4,313.3,0,100,0,0,0,0,0,-40,0,-40,0,0,313.5,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,0,98.621,0,0,008A020300000000,CC00CC0000000000,0000300000000000,000000000000000,4
4,2015-07-02 15:10:01,55,149,150.4,313.3,0,100,0,0,0,0,0,-40,0,-40,0,0,313.5,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,0,98.705,0,0,008A020300000000,CC00CC0000000000,0000300000000000,000000000000000,4
5,2015-07-02 15:10:02,75,149,150.4,313.3,0,100,0,0,0,0,0,-40,0,-40,0,0,313.5,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,0,98.79,0,0,008A020300000000,CC00CC0000000000,0000300000000000,000000000000000,4
6,2015-07-02 15:10:03,95,149,150.4,313.3,0,100,0,0,0,0,0,-40,0,-40,0,0,313.5,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,0,98.875,0,0,008A020300000000,CC00CC0000000000,0000300000000000,000000000000000,4
