No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-07-30 10:16:31,57,149.9,0,80.7,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.071,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
2,2015-07-30 10:16:31,57,149.9,0,80.8,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.071,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
3,2015-07-30 10:16:32,77,149.9,0,80.8,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.092,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
4,2015-07-30 10:16:33,97,149.9,0,80.7,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.114,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
5,2015-07-30 10:16:34,117,149.9,0,80.4,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.136,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
6,2015-07-30 10:16:35,137,149.9,0,80.2,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.158,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
7,2015-07-30 10:16:36,157,149.9,0,80.1,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.18,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
8,2015-07-30 10:16:37,177,149.9,0,80.2,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.201,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
9,2015-07-30 10:16:38,197,149.9,0,80.2,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.223,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
10,2015-07-30 10:16:39,217,149.9,0,80.2,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.245,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
11,2015-07-30 10:16:40,237,149.9,0,80.2,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.267,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
12,2015-07-30 10:16:41,1,150,0,80.2,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.289,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
13,2015-07-30 10:16:42,21,149.9,0,80.1,0,100,0,0,0,0,0,-40,0,-40,0,0,80.1,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,67,0,5.31,0,0,008A020300000000,E3AACE0000080000,0000300000000000,0C000000C000000,1
