No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum,S2V1,S2V2,S2V3,S2V4,S2V5,S2V6,S2V7,S2V8,S2V9,S2V10,S2V11,S2V12,S2V13,S2V14,S2V15,S2V16,S2V17,S2V18,S2V19,S2V20,S2V21,S2V22,S2V23,S2V24,S2V25,S2V26,S2V27,S2V28,S2V29,S2V30,S2T1,S2T2,S2T3,S2T4,S2T5,S2T6
11,2015-10-27 11:11:27,7,0,1.2,1.1,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.6,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.037,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
12,2015-10-27 11:11:28,7,0,1.2,-5.8,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.037,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
13,2015-10-27 11:11:29,7,0,1.2,-0.9,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.037,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
14,2015-10-27 11:11:30,7,0,1.2,-1,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.038,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
15,2015-10-27 11:11:31,7,0,1.2,0,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.4,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.038,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
16,2015-10-27 11:11:32,7,0,1.2,2.4,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.5,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.038,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
17,2015-10-27 11:11:33,7,0,1.2,0,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.039,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
18,2015-10-27 11:11:34,7,0,1.2,-4.3,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.6,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.039,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
19,2015-10-27 11:11:35,7,0,1.2,-1.3,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.039,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
20,2015-10-27 11:11:36,7,0,1.2,1.2,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.039,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
21,2015-10-27 11:11:37,7,0,1.2,0,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.6,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.04,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
22,2015-10-27 11:11:38,7,0,1.2,-5.6,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.04,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
23,2015-10-27 11:11:39,7,0,1.2,-1.4,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.6,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.04,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
24,2015-10-27 11:11:40,7,0,1.2,-1.4,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.6,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.041,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
25,2015-10-27 11:11:41,7,0,1.2,-1.3,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,-0.5,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0.041,0,0,0,0000000300000000,3C00000000000000,0000000000000000,000000000000000,1,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,3.202,3.203,3.2,3.201,20,21,22,23,24,25
