No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-10-26 10:03:09,7,0,1.2,-1,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020000000000,CC00000000000000,0000000000000000,000000000000000,1
2,2015-10-26 10:03:09,7,0,1.2,-1,90,99.7,0,0,0,0,0,-40,0,-40,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020000000000,CC00000000000000,0000000000000000,000000000000000,1
3,2015-10-26 10:03:10,7,0,1.2,-0.4,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020000000000,CC00000000000000,0000000000000000,000000000000000,1
4,2015-10-26 10:03:11,7,0,1.2,-1.1,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,CC00000000000000,0000000000000000,000000000000000,1
5,2015-10-26 10:03:12,7,0,1.2,1.2,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,CC00000000000000,0000000000000000,000000000000000,1
6,2015-10-26 10:03:13,7,0,1.2,0,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
7,2015-10-26 10:03:14,7,0,1.2,-1.2,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
8,2015-10-26 10:03:15,7,0,1.2,-0.8,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
9,2015-10-26 10:03:16,7,0,1.2,1.4,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
10,2015-10-26 10:03:17,7,0,1.2,1,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
11,2015-10-26 10:03:18,7,0,1.2,-1.5,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
12,2015-10-26 10:03:19,7,0,1.2,0.5,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
13,2015-10-26 10:03:20,7,0,1.2,-0.8,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
14,2015-10-26 10:03:21,7,0,1.2,-0.9,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
15,2015-10-26 10:03:22,7,0,1.2,-0.8,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
16,2015-10-26 10:03:22,7,0,1.2,-0.8,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
17,2015-10-26 10:03:22,7,0,1.2,-0.8,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
18,2015-10-26 10:03:22,7,0,1.2,-0.8,90,99.7,65.535,0,65.535,0,0,215,0,215,0,0,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,89.73,0,0,0,0,0080020300000000,3C00000000000000,0000000000000000,000000000000000,1
