No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-07-02 15:31:03,72,228.6,230.3,-8.9,1.1,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.024,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
2,2015-07-02 15:31:03,74,228.6,230.2,-8.9,1.1,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.024,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
3,2015-07-02 15:31:04,92,228.5,230.3,-8.9,1.1,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.051,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
4,2015-07-02 15:31:05,112,228.5,230.3,-8.9,1.2,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.077,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
5,2015-07-02 15:31:06,132,228.6,230.3,-8.9,1.2,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.103,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
6,2015-07-02 15:31:07,152,228.5,230.2,-8.9,1.2,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.129,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
7,2015-07-02 15:31:08,172,228.5,230.2,-8.9,1.3,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.156,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
8,2015-07-02 15:31:09,192,228.6,230.2,-8.9,1.3,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.182,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
9,2015-07-02 15:31:10,212,228.5,230.2,-9,1.3,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.208,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
10,2015-07-02 15:31:11,232,228.6,230.2,-8.9,1.4,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.235,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
11,2015-07-02 15:31:12,252,228.6,230.2,-8.9,1.4,100,0,0,0,0,0,-40,0,-40,0,0,-9,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,90,1.261,2.867,0,0,0082020300000000,CC000C0000000000,0000300000000000,000000000000000,4
