No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-10-26 09:23:45,7,3.7,1.2,1.9,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.076,0,0,0080020300000000,3C00000000000003,0000000000000000,000000000000000,1
2,2015-10-26 09:23:45,7,3.7,1.2,1,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.076,0,0,0080020300000000,3C00000000000003,0000000000000000,000000000000000,1
3,2015-10-26 09:23:46,7,300.4,1.2,0.9,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.076,0,0,0080020300000000,3C00000000000003,0000000000000000,000000000000000,1
4,2015-10-26 09:23:47,7,300,1.2,0,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.076,0,0,0080020300000000,3C00000000000003,0000000000000000,000000000000000,1
5,2015-10-26 09:23:48,7,300.1,2.4,1.6,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.076,0,0,0080020300000000,3000000000000003,0000000000000000,000000000000000,1
6,2015-10-26 09:23:49,7,300.2,2.4,0,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.077,0,0,0080020300000000,3000000000000003,0000000000000000,000000008800000,1
7,2015-10-26 09:23:50,7,300.2,2.4,0,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.077,0,0,0080020300000000,3000000000000003,0000000000000000,000000008800000,1
8,2015-10-26 09:23:51,7,300.2,3.6,1.6,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.077,0,0,0080020300000000,3000000000000003,0000000000000000,000000008800000,1
9,2015-10-26 09:23:52,7,300.2,3.6,-0.6,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.078,0,0,0080020300000000,3000000000000003,0000000000000000,00000000CC00000,1
10,2015-10-26 09:23:53,7,300.2,3.6,1.3,89.9,0,65.535,0,65.535,0,0,215,0,215,0,0,0.5,Normal,Off,Off,Off,On,On,On,Close,Close,0,0,90,0,0.078,0,0,0080020300000000,3000000000000003,0000000000000000,00000000CC00000,1
