No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-10-27 13:53:17,7,62.3,62.6,-263,56.9,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,10.927,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
2,2015-10-27 13:53:17,7,62.3,62.6,-263.6,56.9,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,10.927,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
3,2015-10-27 13:53:18,7,62.3,62.6,-263.7,57,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,11.19,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
4,2015-10-27 13:53:19,7,62.3,62.6,-263.5,57.1,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,11.19,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2015-10-27 13:53:21,7,62.3,62.6,-262.3,57.3,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,11.585,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
7,2015-10-27 13:53:22,7,62.4,62.6,-263.2,57.3,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,11.585,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
8,2015-10-27 13:53:23,7,62.3,62.6,-264.4,57.4,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.8,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,11.716,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
9,2015-10-27 13:53:24,7,62.3,62.6,-263.6,57.5,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,11.979,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
10,2015-10-27 13:53:25,7,62.3,62.6,-263.3,57.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,11.979,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
