No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum,S1T1,S1T2,S1T3,S1T4,S1T5,S1T6,S3T7,S3T8
1,2015-10-27 13:09:45,7,0,1.2,1.3,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
2,2015-10-27 13:09:45,7,0,1.2,0,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
3,2015-10-27 13:09:46,7,0,1.2,0.8,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
4,2015-10-27 13:09:47,7,0,1.2,-1.2,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
5,2015-10-27 13:09:48,7,0,1.2,-1.5,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
6,2015-10-27 13:09:49,7,0,1.2,0,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
7,2015-10-27 13:09:50,7,0,1.2,1.1,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
8,2015-10-27 13:09:51,7,0,1.2,1.5,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
9,2015-10-27 13:09:52,7,0,1.2,-1,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
10,2015-10-27 13:09:53,7,0,1.2,1.1,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
11,2015-10-27 13:09:54,7,0,1.2,-0.4,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
12,2015-10-27 13:09:55,7,0,1.2,-1.3,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
13,2015-10-27 13:09:56,7,0,1.2,0,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
14,2015-10-27 13:09:57,7,0,1.2,1.1,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
15,2015-10-27 13:09:58,7,0,1.2,1.4,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
16,2015-10-27 13:09:59,7,0,1.2,-1.4,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
17,2015-10-27 13:10:00,7,0,1.2,0,50,100,1.547,60,0,0,1.547,-28,1,117,200,-145,0,Normal,Off,Off,Off,Off,Off,Off,Close,Close,0,0,158.4,0,0,0,0,0000000000000000,CC0F000000000000,0000000000000000,000000000000000,3,20,21,22,23,24,25,26,27
