Time,Life,SOC,slave_num,sum_volt,extsum_volt,current,avg_current,max_volt,max_volt_no,min_volt,min_volt_no,max_t,max_temp_no,min_t,min_temp_no,Bat_ErrCode,BatSYS_ErrCode,HD_ErrCode,Other_ErrCode,Total_in_AH,Total_out_AH,CC,CC2,AI1,AI2,BMS_Volt,CP,DI1,DI2,DI3,DI4,DO1,DO2,Rly_HEAT,Rly_FAN,Rly_POS,Rly_NEG,Rly_PRE,Rly_CHG,LifeA,max_voltA,max_volt_noA,min_voltA,min_volt_noA,max_tA,max_temp_noA,min_tA,min_temp_noA,diff_VA,diff_TA,ErrorFlagA,sla_vnumA,sla_tnumA,voltA1,voltA2,voltA3,voltA4,voltA5,voltA6,voltA7,voltA8,voltA9,voltA10,voltA11,voltA12,voltA13,voltA14,voltA15,voltA16,voltA17,voltA18,voltA19,voltA20,voltA21,voltA22,voltA23,voltA24,voltA25,voltA26,voltA27,voltA28,voltA29,voltA30,voltA31,voltA32,voltA33,voltA34,voltA35,voltA36,voltA37,voltA38,voltA39,voltA40,temperA1,temperA2,temperA3,temperA4,temperA5,temperA6
13:53:37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,40.000000,5.229000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.229000,0.000000,0200000000000000,40.000000,6.000000,1.456000,3.598000,3.418000,3.549000,3.534000,3.553000,3.559000,3.543000,3.360000,3.564000,1.456000,3.597000,3.418000,3.547000,3.534000,3.552000,3.558000,3.541000,3.360000,3.562000,1.455000,3.597000,3.418000,3.547000,3.534000,3.552000,3.559000,5.206000,0.036000,5.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
13:53:38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,45.000000,5.229000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.229000,0.000000,0200000000000000,40.000000,6.000000,1.456000,3.598000,3.418000,3.549000,3.534000,3.553000,3.559000,3.543000,3.360000,3.564000,1.456000,3.597000,3.418000,3.547000,3.534000,3.552000,3.558000,3.541000,3.360000,3.562000,1.458000,3.597000,3.418000,3.547000,3.534000,3.553000,3.559000,5.208000,0.034000,5.229000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
13:53:39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,50.000000,5.230000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.230000,0.000000,0200000000000000,40.000000,6.000000,1.459000,3.598000,3.420000,3.549000,3.534000,3.553000,3.559000,3.541000,3.360000,3.564000,1.459000,3.597000,3.418000,3.547000,3.534000,3.552000,3.558000,3.541000,3.358000,3.562000,1.458000,3.597000,3.418000,3.547000,3.534000,3.553000,3.559000,5.208000,0.034000,5.229000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
13:53:40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,55.000000,5.230000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.230000,0.000000,0200000000000000,40.000000,6.000000,1.459000,3.598000,3.420000,3.549000,3.534000,3.553000,3.559000,3.541000,3.360000,3.564000,1.459000,3.597000,3.418000,3.547000,3.534000,3.552000,3.558000,3.541000,3.358000,3.562000,1.461000,3.597000,3.418000,3.547000,3.534000,3.552000,3.559000,5.208000,0.036000,5.229000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
13:53:41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,60.000000,5.230000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.230000,0.000000,0200000000000000,40.000000,6.000000,1.462000,3.598000,3.420000,3.549000,3.534000,3.553000,3.559000,3.541000,3.360000,3.564000,1.462000,3.597000,3.418000,3.547000,3.532000,3.552000,3.558000,3.540000,3.358000,3.562000,1.461000,3.597000,3.418000,3.547000,3.534000,3.552000,3.559000,5.208000,0.036000,5.229000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
13:53:42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,65.000000,5.230000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.230000,0.000000,0200000000000000,40.000000,6.000000,1.462000,3.598000,3.420000,3.549000,3.534000,3.553000,3.559000,3.541000,3.360000,3.564000,1.462000,3.597000,3.418000,3.547000,3.532000,3.552000,3.558000,3.540000,3.358000,3.562000,1.464000,3.597000,3.420000,3.547000,3.534000,3.553000,3.559000,5.208000,0.036000,5.229000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
13:53:43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,70.000000,5.230000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.230000,0.000000,0200000000000000,40.000000,6.000000,1.464000,3.598000,3.420000,3.547000,3.534000,3.553000,3.559000,3.541000,3.360000,3.564000,1.465000,3.597000,3.418000,3.547000,3.534000,3.552000,3.558000,3.540000,3.358000,3.562000,1.464000,3.597000,3.420000,3.547000,3.534000,3.553000,3.559000,5.208000,0.036000,5.229000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
13:53:44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,75.000000,5.230000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.230000,0.000000,0200000000000000,40.000000,6.000000,1.464000,3.598000,3.420000,3.547000,3.534000,3.553000,3.559000,3.541000,3.360000,3.564000,1.465000,3.597000,3.418000,3.547000,3.534000,3.552000,3.558000,3.540000,3.358000,3.562000,1.467000,3.598000,3.420000,3.547000,3.534000,3.553000,3.559000,5.208000,0.036000,5.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
13:53:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,80.000000,5.229000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.229000,0.000000,0200000000000000,40.000000,6.000000,1.467000,3.598000,3.420000,3.549000,3.534000,3.553000,3.559000,3.541000,3.360000,3.564000,1.467000,3.597000,3.418000,3.547000,3.534000,3.552000,3.558000,3.540000,3.358000,3.562000,1.467000,3.598000,3.420000,3.547000,3.534000,3.553000,3.559000,5.208000,0.036000,5.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
13:53:46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,H,H,H,H,L,L,L,L,L,L,L,L,85.000000,5.229000,30.000000,0.000000,31.000000,21.000000,2.000000,20.000000,30.000000,5.229000,0.000000,0200000000000000,40.000000,6.000000,1.467000,3.598000,3.420000,3.549000,3.534000,3.553000,3.559000,3.541000,3.360000,3.564000,1.467000,3.597000,3.418000,3.547000,3.534000,3.552000,3.558000,3.540000,3.358000,3.562000,1.468000,3.597000,3.420000,3.547000,3.534000,3.553000,3.559000,5.206000,0.036000,5.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,21.000000,20.000000,21.000000,20.000000,21.000000
